Название компании;Рынок;Что делают;Подробное описание проекта; Выручка (млн);Стадия;Международный трекшн ;Полезные ссылки;;;;;;;;;;;;;
VoxQube;Media & Entertainment;Озвучка посредством синтеза речи ;Сервис мультиязычного озвучивания аудиовизуального контента посредством синтеза речи. ;До 100 млн.руб;Seed;Да;"Сайт:
https://cyrillica.ru/voxqube.html";;;;;;;;;;;;;
MetaScan;Cybersecurity;SaaS для защиты корпораций от кибератак.;SaaS для защиты корпораций от кибератак.;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://metascan.ru/ ";;;;;;;;;;;;;
Компьютерная академия TOP;EdTech;Академия для IT ;Очная и дистанционная академия IT-образования для взрослых и детей с направлениями обучения в области программирования, графического дизайна, компьютерных сетей и безопасности, интернет-маркетинга и soft skills.;До 100 млн.руб;Pre-seed;Нет;"Сайт:
https://msk.top-academy.ru/";;;;;;;;;;;;;
SECURITM;Cybersecurity;Тестируют кибер-защиту компании;B2B сервис, который решает проблемы управления информационной безопасностью компании в рамках единой платформы автоматизации. В качестве основного преимущества выделяется фокус на анализ защищенности компании от кибер атак и угроз изнутри предиктивным способом через оценку рисков.;До 100 млн.руб;Pre-seed;Нет;"Сайт: https://securitm.ru/
";;;;;;;;;;;;;
CyberPeak;Cybersecurity;Система защиты неструктурированнных данных ;Система защиты неструктурированных данных. Технологии машинного обучения позволяют выявлять нетипичные поведения сотрудников по отношению к неструктурированным данным, решая такие задачи как массовое удаление данных, аномальное изменение привилегий доступа, определение бизнес владельцев документов и другие.;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://cyberpeak.ru/

Сбис: 
https://sbis.ru/contragents/9725025175/772501001";;;;;;;;;;;;;
"Стингрей
";Cybersecurity;Тестируют безопасность мобильных приложений ;Система для поиска уязвимостей и автоматизации тестирования информационной безопасности мобильных приложений. Продукт основан на собственной технологии записи и воспроизведения автотестов. Позволяет настраивать необходимый уровень защищенности мобильного приложения, а также видеть статистику по ряду приложений в реальном времени.;До 100 млн.руб;Pre-seed;Нет;"Сайт:
https://1va.vc/about/projects/proekty_527.html

";;;;;;;;;;;;;
"Hologroup
";Business Software;AR/VR для enterprise ;Компания по разработке голографических продуктов и решений для смешанной реальности на базе Microsoft HoloLens, использующиеся для демонстрации архитектурных концепций, голографических экскурсий и презентаций.;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://holo.group/en/

Сбис: 
https://sbis.ru/contragents/5024167801/773101001";;;;;;;;;;;;;
"Crabler
";Business Software;Подписка на городские сервисы ;Приложение для резидентов объектов недвижимости с маркетплейсом ежедневных сервисов. Они подключают как известные городские сервисы, так и создаем новые.;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://promo.crabler.com

Сбис: 
https://sbis.ru/contragents/7724448400/770501001";;;;;;;;;;;;;
Вдело;FinTech;Платформа для инвестирования ;Инвестиционная платформа « ВДЕЛО » – первая инвестиционная платформа, созданная инфраструктурой поддержки предпринимательства. Платформа предоставляет возможность частным инвесторам вкладывать деньги в малый и средний бизнес через выдачу займов. Все операции онлайн. Займы на любые цели. Для инвесторов – бесплатно. Для заемщиков – комиссия при выдаче займов.;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://vdelo.pro

Сбис: 
https://sbis.ru/contragents/6623134596/662301001";;;;;;;;;;;;;
"ARKNET
";Cybersecurity;Реагирования на кибератаки ;Разработчик автоматизированных систем обнаружения и реагирования на кибератаки для предприятий критической информационной инфраструктуры.;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://www.avatecsoft.ru/

Сбис: 
https://sbis.ru/contragents/9729294972/773101001";;;;;;;;;;;;;
mybi;Business Software;Большие данные ;"ETL-сервис для работы с большими данными.
";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://mybi.ru/

Сбис: 
https://sbis.ru/contragents/7743218786/774301001";;;;;;;;;;;;;
"NCV
";Business Software;Поддержка приянтяи решений ;Компания создает информационные системы для поддержки принятия решений топ-менеджмента крупных корпораций. Разработчик прототипа единой платформы для управления бизнес-процессами корпораций в виде облачного решения - VALTRON.;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://naviz.ru/

Сбис: 
https://sbis.ru/contragents/7704458752/770401001";;;;;;;;;;;;;
"Business Architect
";Business Software;Моделирования бизнес-процессов ;Business Architect - Платформа для моделирования и автоматизации бизнес-процессов, включающая в себя модуль визуализации, инструменты захвата (записи) бизнес-процессов, средства исполнения сценариев бизнес-процессов (программный робот) и оркестратор, позволяющий осуществлять управление сложными бизнес-процессами.;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://symma.pro/xx0104/Business_mathematics

Сбис: 
https://sbis.ru/contragents/9701162398/770101001";;;;;;;;;;;;;
"Graviton
";Business Software;Low code для IT ;Enterprise low-code платформа для быстрой реализации IT-емких проектов цифровой трансформации;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://gravitonum.com/

Сбис: 
https://sbis.ru/contragents/9731075537/773101001";;;;;;;;;;;;;
"SalesPilot
";Business Software;Конструктор коммерческих предложений ;"Онлайн-конструктор коммерческих предложений со встроенной аналитикой.
Повышение конверсии в сделку на 20%, ускорение цикла сделки на 30%, уменьшение времени на подготовку КП 50%.
";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
http://salespilot.ru/

Сбис: 
https://sbis.ru/contragents/9721111433/772101001";;;;;;;;;;;;;
КУАПП;Cybersecurity;Алгоритмы для информационной безопасности ;Решение информационной безопасности на основе квантово-устойчивых алгоритмов шифрования — данные решения позволяют защищать ценные данные бизнеса, государства и физических лиц от кибератак с применением как классических, так и квантовых компьютеров.;До 100 млн.руб;Pre-seed;Нет;"Сайт:
https://qapp.tech/



Сбис: 
https://sbis.ru/contragents/9731047258/773101001";;;;;;;;;;;;;
"WEEEK
";Business Software;Сервис для управления командами ;"Cервис для управления личными и командными проектами
Российский аналог Trello.";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://weeek.net/ru

Сбис: 
https://sbis.ru/contragents/7722489513/772201001";;;;;;;;;;;;;
CloudDuo;Business Software;Разработка веб-сервисов ;"У компании есть ряд продуктов - флагманский это:
2NETS App Platform – платформа разработки приложений. Она позволяет создавать приложения и веб-сервисы, интегрировать их посредством чат-ботов в мессенджер и медиа-платформу.
2NETS предоставляет клиентам набор инструментов и сервисов для создания мобильных и веб-приложений, обладающих функциональным возможностями суперприложения (Super App).";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://www.clouduo.ru/


Сбис: 
https://sbis.ru/contragents/2635816194/263401001";;;;;;;;;;;;;
Комбинатор Про;Business Software;Система создания документов ;"Система создания документов на основе умных шаблонов без знания 
программирования. Исключает ошибки при создании документов. Ускоряет подготовку в 5 раз.
Бизнес-модель: продажа подписок, готовых пакетов шаблонов под узкие ЦА, услуги по внедрению и разработке индивидуальных шаблонов.";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://www.kombinator.pro/

Сбис: 
https://sbis.ru/contragents/2221040598/222401001";;;;;;;;;;;;;
Dialext;Business Software;Речевая аналитика ;"Облачный сервис речевой аналитики. Автоматизирует задачу контроля качества переговоров по телефону отдела продаж.
Автоматический аудит 100% телефонных звонков.
Особенности:
• глубокая речевая аналитика с использованием ML;
• разделение на менеджера и клиента даже в одноканальной записи;
• 100% интеграция с CRM;
• построение профиля компетенций, отслеживание динамики развития сотрудников.";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://www.dialext.com/


Сбис: 
https://sbis.ru/contragents/3812526191/381201001";;;;;;;;;;;;;
Statanly Technologies;Business Software;Сегментирование клиентской базы ;"Statanly Technologies — компания занимается разработкой систем и сервисов на базе машинного обучения и искусственного интеллекта. Одним из важных решений компании является прогнозная система оттока клиентов, позволяющая на ранней стадии выделять сегменты клиентской базы, которые склонны к оттоку. 
";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
http://churn.statanly.com/

Сбис: 
https://sbis.ru/contragents/7805729198/780501001";;;;;;;;;;;;;
stopphish;Cybersecurity;Проверка безопасности компании ;"Платформа по выявлению сотрудников, уязвимых к социальной инженерии и фишингу, система отправляет ловушки сотрудникам и обучает тех, кто ""попался"".
Планируем внедрить ИИ, чтобы он ""взламывал"" сотрудников и максимально приблизить атаки к хакерским, но уже сейчас мы снижаем риск взлома в 20+ раз.
Тестировали продукт с Ростех, Росатом, Amway, Роскачество, и еще 20+ организаций.";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://stopphish.ru/

Сбис: 
https://sbis.ru/contragents/1103046305/110301001";;;;;;;;;;;;;
ХАРТ.ЗОН;MedTech;Мониторинг ЭКГ;"Компания разработала технологию непрерывного мониторинга электрокардиограммы (ЭКГ) для носимых устройств и аксессуаров, таких как наушники, очки, часы, головные уборы, аксессуары для одежды и ювелирные изделия.
Технология непрерывного мониторинга ЭКГ Heart.Zone™ позволяет следить за нагрузкой на сердце в режиме реального времени и предупреждать пользователя о сердечном стрессе.
Микромодуль Heart.Zone™ — это миниатюрный одноканальный датчик ЭКГ с электродами в берушах. Он предназначен для интеграции в наушники.";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://web.archive.org/web/20220306073156/https://navigator.sk.ru/orn/1122041";;;;;;;;;;;;;
НЕЙРОКС;MedTech;Мониторинг спортсменов ;Нейротрекер для мониторинга, прогнозирования и управления психофизическим состоянием спортсмена с биологической обратной связью. Нейротрекер относится к средствам диагностики психофизиологического состояния человека в покое и процессе профессиональной деятельности и может быть использовано как в домашних условиях, так и спец учреждениях (фитнес-центры, клиники, оздоровительные центры), а также для автоматического контроля состояния операторов, в частности водителей транспортных средств.;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
http://www.neyrox.com/

";;;;;;;;;;;;;
MyAngelVitalSigns;MedTech;Мониториг электрокардиограммы ;"Устройство MyAngel VitalSigns предназначено для отслеживания жизненно важных показателей - электрокардиограммы (3-х электродный ЭКГ), SPO2, температуры тела в районе сердца, частоты сердечных сокращений и дыхания, и, что очень важно, артериального давления. Система построена таким образом, что при любых признаках ухудшения здоровья, которое оценивается по этим параметрам, она немедленно отправляет сигнал на смартфон пользователя и контактам, внесенным в специализированный список.

Для контроля жизнедеятельности человека MyAngel VitalSigns проводит комбинаторный анализ физических параметров, а преобразованную информацию непрерывно передает врачам в соответствии с их специализацией и прерогативами.";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://evercare.ru/MyAngel-VitalSigns

";;;;;;;;;;;;;
КАРДИОКВАРК;MedTech;Мониторг экг ;Система кардиомониторинга CardioQVARK, это устройство для нятие показаний ЭКГ. Выполненное в виде чехла для телефона, что позволяет пациенту носить данное устройство всегда с собой, а также позволяет подключать его к сети интернет,WIfi.;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://cardioqvark.ru/";;;;;;;;;;;;;
ИНТЕРСЕЛ РЭНД;MedTech;Измерение сахара ;"«LCM Biosensor» – новый неинвазивный глюкометр для бескровного измерения сахара крови и ранней диагностики сахарного диабета 2 типа.
Метод основан на высокоточных измерениях осмотического давления межклеточного вещества живой ткани. Он разработан на базе научного открытия гетерофазного конденсированного состояния межклеточного вещества живой биологической ткани.
Прототип монитора «LCM Biosensor» представляет собой мультисенсорное устройство, в котором технология межклеточного осмотического биосенсора (intercellular osmotic biosensor) интегрирована с технологией микрокалориметра межклеточной гидродинамики (intercellular microfluidics calorimeter).
";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://rdintercell.com/";;;;;;;;;;;;;
Gordi;MedTech;Генетическая идентификация ;"Разработчик высокотехнологичных решений в области молекулярной биологии и медицины. Производитель продукции для молекулярно-генетической идентификации личности на основе мультиплексного анализа STR-локусов хромосомной ДНК, а также разработчик решений для индивидуализации и идентификации животных.

Одной из разаработок компании явялется инновационные наборы реагентов для ПЦР диагностики.";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://gordiz.ru/products/medicine/";;;;;;;;;;;;;
ЭПИГЕНЛАБ;MedTech;ДНК диагностика ;Эпигенетическая ДНК диагностика: проект, который предполагает разработку ПЦР тест-систем для диагностики заболеваний, связанных с эпигенетическими изменениями. К ним относятся как возрастные заболевания, такие как онкология, так и ряд других , например, COVID-19 . Анализ производится на ДНК крови. Команда обладает собственной технологической платформой на базе нового класса ферментов для быстрой разработки тестов.;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://epigenlab.com/ru/";;;;;;;;;;;;;
ДЖЕЙВИС ДИАГНОСТИКС;MedTech;Выявление ранней стадии онкологии ;"Разработка in vitro диагностического теста на выявление ранних стадий онкологических заболеваний на основе сыворотки крови.
Клинические исследования с использованием нового маркера эпителиальных карцином МЭК показали высокую чувствительность теста при 95% специфичности при выявлении ранних стадий РПЖ, РМЖ, РЯ и при мониторинге химиотерапии III и IV стадий эпителиальных опухолей.";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
http://www.oncomarker.ru/ABOUT-US/";;;;;;;;;;;;;
ОНКОЮНАЙТ КЛИНИКС;MedTech;тест-система лечения меланомы ;Компания занимается разработкой тест-системы для раннего обнаружения и мониторинга эффективности лечения меланомы на основе экзосомальных микроРНК, и разработка терапевтических агентов;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://oncounite.com/
";;;;;;;;;;;;;
ИГЛУ;MedTech;Диагностика с помоощью экспресс-тестов ;"Igloo - комплекс для in vitro диагностики на базе иммунохроматографических экспресс-тестов, реализующий на практике принципы машинного обучения и компьютерного зрения
Система создана для работы с тестами на основе ИХА и позволяет быстро добавлять новые тесты в линейку, на основе алгоритмов анализа больших данных (5PL регрессий).

Также указано, что
Цитата:
Нами разработана система для проведения рефлекто-фотометрии крови, слюны и других жидкостей пациентов с использованием иммунохроматографических методов.";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://navigator.sk.ru/orn/1123991";;;;;;;;;;;;;
АККОФРИСК;MedTech;Определение уровня глюкозы;"Acc of risk™ - это доступная, неинвазивная, беспроводная платформа для определения уровня глюкозы. Наша революционная технология позволяет людям с диабетом точно контролировать уровень глюкозы в крови для лучшего управления своим состоянием.
Показания уровня глюкозы можно снимать время от времени или постоянно в течение дня, и результаты мгновенно отображаются на устройстве или могут передаваться через Bluetooth в мобильное приложение, где пользователь может управлять данными и получать оповещения.";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://www.accofrisk.com/en/

https://www.bodyvo.com/ ";;;;;;;;;;;;;
DemetraAI;MedTech;Анализ клеток ;Программное обеспечение для автоматизированного анализа морфологии клеток цифровых цитологических микропрепаратов, используемое для поддержки принятия врачебных решений и автоматизации скрининга рака шейки матки. Основано на методах машинного обучения и технического зрения.;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Univertus;Transport & Logistics;Цифровой двойник ;Univertus – интеллектуальная система построения цифрового двойника сотрудника для повышения эффективности управления персоналом с применением технологий ML и AI.;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://univertus.ru/
";;;;;;;;;;;;;
ОКО МОНИТОРИНГ;Transport & Logistics;Контроллер транспортной телематики ;Универсальный контроллер транспортной телематики, выполняющий функции свыше четырёх отдельных устройств автоэлектроники: навигационного трекера, контроллера телеметрии, двухканального видеорегистратора, сенсора контроля бдительности водителя и онлайн-кабинета для управления автопарком. Не требует продвинутых ИТ-компетенций для внедрения и предназначен для быстрого развёртывания в малых и средних автопарках.;До 100 млн.руб;Раунд А;Нет;"Сайт: 
https://oko-monitoring.ru/";;;;;;;;;;;;;
ТЕОРЕМА;Transport & Logistics;Цифровизация транспорта ;"Компания ""ТЕОРЕМА"" решает проблему исключения человеческого фактора в управлении транспортом, цифровизации всех сервисов вокруг транспорта ""виртуальный транспортный оператор"". Рассматривается применение Искусственного Интеллекта в принятии решений по управлению транспортом. Данная система решит текущие проблемы в управлении транспортом (контроль топлива, замена транспорта, ремонты, страхование, маршрутизация), так и решит будущие проблемы в управлении беспилотным транспортом, т.к. проектируется для машин, а не людей. Потребителями системы являются автотранспортные предприятия и предприятия, которые эксплуатируют различный транспорт. Новая платформа представит собой высокотехнологичную, устойчивую к нагрузкам систему, которая консолидирует и обрабатывает данные от транспорта.";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://tetron.ru/";;;;;;;;;;;;;
АВТОТРЕКЕР;Transport & Logistics;Управление транспортным средством ;"Zavgar Online – облачный сервис управления транспортными средствами. Его ключевые задачи – это оцифровка процесса эксплуатации автопарка, своевременное определение аномалий и управление не на ощущениях, а на цифрах. Элементы системы: FMS; приложение для водителя; навигационное оборудование; модуль интеграции и API.";До 100 млн.руб;Раунд B;Нет;"Сайт: 
https://zavgar.online/
";;;;;;;;;;;;;
Бейстрек Рус/ Энерготрак;Transport & Logistics;Бесплитоник;Разработчик технологий беспилотных автомобилей, способных перемещаться по любому рельефу в любых погодных условиях (снег, лет). В основе решений – технология «виртуальных рельс», содержащая алгоритмы оптимального вождения и интеллектуальную систему ADAS, которая сканирует земную поверхность и навигирует автомобиль с учетом его параметров, погодных условий и транспортных задач.;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://www.basetrack.net/";;;;;;;;;;;;;
"CSIRA Self-Driving Platform

(Команда подавшая заявку)";Transport & Logistics;Анализ состояния водителя;"CSIRA VISION SDP - интеллектуальный модуль, который анализирует с помощью видеокамер состояние водителя, окружающую дорожную обстановку и оповещает об опасной ситуации. Сердцем системы является отечественная разработка на основе нейронных сетей и алгоритмов машинного обучения, сочетающая инновационный подход и современный технологии.

Применение Системы предотвращения ДТП CSIRA VISION SDP позволит сократить количество ремонтов транспортных средств, их простоя, повысить дисциплину и безопасность водителей, и, как следствие, оптимизировать расходы, связанные с эксплуатацией транспортных средств.";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://csira.ru/
";;;;;;;;;;;;;
"VR CONCEPT
";Business Intelligence;ПО для работы с цифровыми моделями ;Компания создает программное обеспечение для работы с цифровыми двойниками и 3D-моделями: приложение виртуального прототипирования для коллективной работы с цифровыми двойниками в виртуальной реальности. VR-concept -коробочное решение, которое интегрируется в другие системы и не требует от пользователя специальных знаний и навыков программирования.;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://vrconcept.net/applications/construction/";;;;;;;;;;;;;
СиДиСи ;Transport & Logistics;ПО для технического обслуживания тс ;"Программное обеспечение группы компаний СиДиСи предназначено для автоматизации таких бизнес-процессов, как техническое обслуживание и ремонт оборудования (ТОиР), мониторинг промышленного оборудования и основных производственных активов предприятия, распознавание и анализ объектов в торговле и промышленности с помощью искусственного интеллекта (машинного зрения). 
Система обеспечивает контроль датчиков в режиме онлайн, установленных на промышленном оборудовании, которое требует постоянного мониторинга для снижения простоев и поломок. Данные датчиков передаются на мобильные устройства и стационарные компьютеры ответственных лиц и позволяют оперативно реагировать на нештатные ситуации.";До 100 млн.руб;Раунд А;Нет;"Сайт: 
https://www.cdc.ru/";;;;;;;;;;;;;
Damoov;Transport & Logistics;Сбор телематики и GPS;Компания занимается разработкой собственной мобильной SDK для сбора, анализа и обработки телематических и GPS данных с мобильных устройств и различных сенсоров с последующей обработкой этих данных собственной телематической платформой. Решения компании предназначены для разработчиков продуктов в сфере транспорта и мобильности (например, систем мониторинга стиля вождения, состояния автотранспорта).;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
 https://www.damoov.com/";;;;;;;;;;;;;
ISG neuro;Transport & Logistics;Прогрозирование аварий ;"
Интеллектуальная система прогноза аварий и отказов. Оптимизация затрат на поддержание эсплуатационной готовности сложных технических систем за счет прогнозирования безаварийной работы и динамического расчета надежности системы с учетом изменений внешних условий.";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
 https://isgneuro.ru/";;;;;;;;;;;;;
Рэнера ;Transport & Logistics;Переоборудование спец техники под электро;Поставляет электронный транспорт и переоборудует специтехнику под электрическую. ;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
 https://renera.ru/production/special-equipment/";;;;;;;;;;;;;
Starline ;Transport & Logistics;Цифровая автомагистраль;Компания создаёт цифровую модель автомагистрали и оснащает грузовик оборудованием, которое решит задачи локализации автомобиля в пространстве, распознавания объектов и построения маршрутов движения. ;До 100 млн.руб;Раунд А;Нет;"Сайт: 
 https://smartcar.starline.ru/";;;;;;;;;;;;;
"TrafficData

(Компания сама подала заявку)";Transport & Logistics;ПО для транспортных систем ;"Компания TrafficData специализируется на разработке программного обеспечения для интеллектуальных транспортных систем на основе технологий видеоаналитики с глубоким обучением.

Ответ команды о полезности для Urals:
Из выпадающего списка у нас это ""Проектирование и создание ""Цифровой местности"" для проверки требований техники и сотрудники с возможностью справится  с поставленной задачей"". 
Что мы можем предложить: умный паркинг, отслеживание маршрутов транспортных средств по государственному регистрационному  знаку. ";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
 https://trafficdata.ru/
";;;;;;;;;;;;;
"Skillometer

";Transport & Logistics;Профессиональное обучение ;"“Skillometer” - платформа для профессионального обучения с  системой подбора образовательной траектории на основе рекомендаций нейросети. Мы помогаем работодателям автоматизировать корпоративное обучение сотрудников. 
 
Работаем с компаниями, которые столкнулись со следующими ситуациями: 
высокая стоимость обучения; 
сложность перераспределения сотрудников по филиалам из-за отсутствия понимания текущего уровня их компетенций; 
сотрудники нарушают технику безопасности, так как не прошли обучение; 
оценка новых сотрудников или соискателей требует больших временных затрат. 
Что мы делаем? 
переводим обучение сотрудников в онлайн режим, чтобы каждый прошел в удобное время; 
автоматизируем периодическую аттестацию сотрудников, включая удаленные подразделения; 
минимизируем риски совершения производственных ошибок и репутационных потерь.";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
 https://skillometer.ru/

";;;;;;;;;;;;;
ChannelAI;Transport & Logistics;Автоматизация HR;ChannelAI - система HR-аналитики и рекомендательный сервис с элементами искусственного интеллекта по управлению и повышению эффективности источников подбора. Channel AI собирает данные из ATS, работных сайтов, социальных сетей и карьерного портала, связывает их между собой, формирует отчёты и показывает, использование какого канала и каким образом наиболее эффективно для закрытия вакансии. В связке с собственными модулями организационного развития и проектирования позволяет сделать процесс управления организационной структурой и кросс-функциональными командами в 6 раз быстрее и сократить трудозатраты участников процесса в среднем на 55%.;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
 https://forpeople.company/

";;;;;;;;;;;;;
КБ АВРОРА;Transport & Logistics;Автономное управление тс;Компанией разработана открытая платформа для создания систем управления автономными транспортными средствами (ТС) и разработка автопилота на ее основе. Проект направлен на создание открытой платформы разработки систем автономного управления ТС и системы управления на ее основе. Платформа включает в себя средства тестирования и отладки подсистем сбора и анализа сенсорных данных и последующего принятия решений.;До 100 млн.руб;Раунд А;Нет;"Сайт: 
 https://kb-avrora.ru/";;;;;;;;;;;;;
АРМ;Transport & Logistics;Энергетический комбайн;Целью проекта является разработка энергоэффективного роботизированного зерноуборочного комбайна на основе передовых технологий и патентуемых систем. В конструкции реализованы инновационные энергосберегающие решения. В период с 2011 по 2019 год обеспечен существенный задел и проверена идея работы электрических приводов в составе сельскохозяйственной машины. Достигнуты преимущества по сравнению с традиционными комбайнами, позволяющие экономить до 40% углеводородного топлива.;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://armmeh.ru/";;;;;;;;;;;;;
ЭЛЕКТРОТРАНСПОРТНЫЕ ТЕХНОЛОГИИ;Transport & Logistics;Межскладская логистика;Компания занимается производством беспилотного электротранспорта для межскладской логистики. Реализованы полностью проекты МАТРЕШКА, ГРУЗОВИК, ЗЛЕКТРОБУС, ЭЛЕКТРОМОБИЛЬ в рамках которых созданы автономные транспортные средства: автобус малого класса на 8 пассажиров, автобус на 98 пассажиров, грузовик для перевозки грузов и легковой электромобиль. Вся техника обладает автономной системой управления и использует перспективные источники энергии. ;До 100 млн.руб;Раунд А;Нет;"Сайт: 
 http://ev-tech.me/ru/#secondPage1";;;;;;;;;;;;;
VISY TASK;Transport & Logistics;Скриниг сотрудников;Разработчики программы по автоматизации скоринга сотрудников и принятия управленческих решений.;До 100 млн.руб;Pre-seed;Нет;"Сайт: 
 https://www.visytask.ru/";;;;;;;;;;;;;
СОРБ ИННОВА;Business Intelligence;Визуализация информации;Компания «СОРБ ИННОВА» ведет разработку программно-аппаратного комплекса «Смартроад» для получения, обработки, хранения и визуализации информации, получаемой с детекторов транспорта. Комплекс включает в себя оборудование и программное обеспечение. Микроволновые технологии, применяемые в детекторах «Смартроад», позволяют решать разнообразные задачи, связанные с мониторингом объектов.;До 100 млн.руб;Seed;Нет;"Сайт: 
 https://www.sorb-eng.ru/ru/projects";;;;;;;;;;;;;
